Time;Vazao01;Vazao02;Vazao03
27/01/2019;232.46;100.69;103.42
28/01/2019;197.34;115.05;110.86
29/01/2019;202.46;114.18;110.64
30/01/2019;243.79;107.02;98.23
31/01/2019;198.79;108.32;108.56
01/02/2019;219.67;119.38;111.7
02/02/2019;264.14;114.19;112.83
03/02/2019;211.21;101.79;102.61
04/02/2019;168.89;102.01;102.44
05/02/2019;190.01;99.44;102.14
06/02/2019;207.09;102.98;105.57
07/02/2019;211.99;108.03;106.11
08/02/2019;211.91;113.14;109.53
09/02/2019;265.74;118.89;114.08
10/02/2019;197.56;113.97;107.8
11/02/2019;222.1;109.87;108.92
12/02/2019;211.01;112.3;106.31
13/02/2019;208.19;108.91;102.95
14/02/2019;208.99;113.95;105.07
15/02/2019;201.5;103.26;102.61
16/02/2019;235.82;113.8;114.14
17/02/2019;223.9;104.17;108.17
18/02/2019;181.94;121.07;113.54
19/02/2019;234.81;115.72;108.61
20/02/2019;236.77;115.3;107.79
21/02/2019;212.48;113.51;106.94
22/02/2019;210.74;119.21;110.02
23/02/2019;261.53;135.84;116.78
24/02/2019;242.7;127.77;107.41
25/02/2019;215.37;118.67;105.89
26/02/2019;220.81;110.33;101.76
27/02/2019;199.8;106.34;101.12
28/02/2019;214.49;116.29;105.66
01/03/2019;233.63;123.57;108.11
02/03/2019;243.67;127.48;111.19
03/03/2019;224.74;110.79;102.03
04/03/2019;181.47;118.66;107.93
05/03/2019;270.48;121.75;109.84
06/03/2019;191.49;123.79;110.37
07/03/2019;225.18;114.32;107.92
08/03/2019;231.3;122.79;111.96
09/03/2019;255.18;127.11;116.08
10/03/2019;245.45;114.85;106.57
11/03/2019;203.18;118.12;110.84
12/03/2019;226.5;119.89;111.16
13/03/2019;217.94;122.11;114.34
14/03/2019;220.53;124.56;114.41
15/03/2019;215.73;122.26;113.29
16/03/2019;269.99;119.48;114.53
17/03/2019;224.12;112.2;109.99
18/03/2019;199.47;119.45;113.5
19/03/2019;223.34;117.61;108.66
20/03/2019;226.51;114.01;106.88
21/03/2019;200.78;110.55;103.93
22/03/2019;217.59;116.73;110.8
23/03/2019;264.27;132.8;118.9
24/03/2019;245.37;126.45;108.78
25/03/2019;203.95;134.38;110.1
26/03/2019;231.48;115.93;101.31
27/03/2019;212.97;111.62;103.87
28/03/2019;200.94;104.67;99.26
29/03/2019;218.47;120.27;108.16
30/03/2019;252.28;130.45;115.66
31/03/2019;253.08;120.95;107.51
01/04/2019;198.08;127.13;110.71
02/04/2019;213.46;124.65;105.21
03/04/2019;217.01;123.21;104.85
04/04/2019;215.24;125.91;106.36
05/04/2019;248.17;125.63;103.13
06/04/2019;266.1;121.89;106.59
07/04/2019;224.21;117.22;98.81
08/04/2019;207.1;121;101.29
09/04/2019;187.65;115.79;100.32
10/04/2019;207.62;126.04;104.45
11/04/2019;236.4;124.97;104.86
12/04/2019;221.29;129.61;107.35
13/04/2019;259.32;135.16;112.03
14/04/2019;252.69;121.18;103.02
15/04/2019;177.13;128.21;107.14
16/04/2019;219.37;121.4;103.25
17/04/2019;220.49;125.62;104.82
18/04/2019;230.97;128.91;106.52
19/04/2019;265.77;126.26;104.95
20/04/2019;235.31;125.9;105.83
21/04/2019;211.14;113.48;95.98
22/04/2019;180.58;124.33;101.87
23/04/2019;222.27;124.67;100.07
24/04/2019;199.69;127.73;103.56
25/04/2019;229.35;126.33;102.98
26/04/2019;241.8;133.86;109.73
27/04/2019;250.78;135.39;115.74
28/04/2019;265.17;102.19;92.28
29/04/2019;201.55;133.22;111.19
30/04/2019;224.08;125.61;108.1
01/05/2019;220.71;125.37;111.35
02/05/2019;246.73;126.83;111.84
03/05/2019;239.04;132.08;114.51
04/05/2019;265.54;133;115.64
05/05/2019;271.96;133.15;110.2
06/05/2019;187.14;132.62;106.14
07/05/2019;238.37;121.18;99.43
08/05/2019;213.51;126.34;99.91
09/05/2019;216.88;123.37;102.21
10/05/2019;229.96;133.99;102.79
11/05/2019;277.17;125.34;103.49
12/05/2019;199.02;118.98;100.43
13/05/2019;192.15;126.39;105.96
14/05/2019;214.35;124.6;107.52
15/05/2019;213.77;114.06;102.61
16/05/2019;224.11;121.34;103.83
17/05/2019;210.43;116.38;104.26
18/05/2019;247.87;123.68;108.85
19/05/2019;257.75;120.25;104.49
20/05/2019;194.35;134.13;112.7
